영화 감상,,중국어 자격증(HSK),,바다낚시,,P.O.P,,영화평론,,단소,,박물관,,허브 아일랜드
액션 영화 감상,,"프랑스어 자격증( DELF,DALF)",,민물낚시,,수채화,,도서평론,,첼로,,미술관방문,,허브 키우기
공포 영화 감상,,독일어 자격증(Goethe-Zertifikat),,마라톤,,만화그리기,,자전거 조립,,비올라,,유적지답사,,상추 키우기
코미디 영화 감상 ,,스페인어 자격증(DELE),,조깅,,크로키,,피규어모으기,,콘트라 베이스,,차 전시회,,해맞이 축제
뮤지컬 영화 감상,,컴퓨터 자격증 ,,런닝,,인물화,,건담프라모델,,하모니카,,영화관,,국화 축제
판타지 영화 감상,,소믈리에 자격증 ,,당구,,컬러링,,비행기 모형 수집,,플루트,,연극보기,,재즈 페스티벌
멜로 영화 감상,,한식 조리 기능사,,포켓볼,,아크릴화,,RC카,,바이올린,,발라드 콘서트,,치맥 페스티벌
sf 영화 감상,,중식 조리 기능사,,스케이트보드,,유화,,드론,,피아노,,클럽 공연,,그랜드 민트 페스티벌
국내 영화 감상,,양식 조리 기능사,,산악자전거,,어반스케치,,오토바이 수집,,아코디언,,코미디 공연,,레이크 뮤직 페스티벌
중국 영화 감상,,일식 조리 기능사,,전기 자전거,,디지털아트,,차 수집,,전자피아노,,뮤지컬감상,,아시아송 페스티벌
일본 영화 감상,,복어 조리 기능사,,오토바이 타기,,명화따라그리기,,인테리어 소품 수집,,오르간,,아이돌 콘서트,,edm 페스티벌
미국 영화 감상,,제과제빵 기능사,,전동킥보드,,패션일러스트,,접시 수집,,베이스,,트로트 콘서트,,부산 국제 영화제
영국 영화 감상,,바리스타 자격증,,롤러스케이트,,마카드로잉,,향수 수집,,드럼,,서울패션위크,,로맨스 소설 읽기
프랑스 영화 감상,,조주기능사 자격증,,외발자전거,,페이퍼아트,,아이쉐도우 수집,,클라리넷,,팬미팅,,판타지 소설 읽기
유튜브 찍기,,영어 원서 읽기,,따릉이,,인형리페인팅,,립 수집,,어쿠스틱기타 치기,,팬싸인회,,추리 소설 읽기
일상 유튜브 찍기,,일어 원서 읽기,,국토대장정,,픽셀아트드로잉,,블러셔 수집,,일렉기타 치키,,영화 시사회,,무협지 읽기
여행 유튜브 찍기,,중국어 원서 읽기,,헬스,,컬러매칭,,명품 가방 수집,,클래식 기타 치키,,클럽,,케이콘
먹방 유튜브 찍기,,영문 신문 읽기,,홈트레이닝,,볼펜드로잉,,텀블러 수집,,하프,,나이트,,멜론뮤직어워드
asmr 유튜브 찍기,,일어 신문 읽기,,스피닝,,동양화,,다이어리 수집,,우쿨렐레 치기,,스파,,소리바다어워드
틱톡 영상 찍기,,중국어 신문 읽기,,실탄 사격,,벽화 그리기,,시계수집,,리코더 불기,,찜질방,,엠넷 아시아 뮤직 어워드
유튜브 보기,,영어 뉴스 보기,,비비탄 사격,,페이스페인팅,,반지수집,,오카리나 불기,,온천,,지니뮤직어워드
일상 유튜브 보기,,일어 뉴스 보기,,서바이벌,,피포 페인팅,,팔찌수집,,트럼펫,,바다 구경,,골든디스크어워즈
여행 유튜브 보기,,중국어 뉴스 보기,,요가,,그림 그리기,,모자수집,,색소폰,,산 구경,,VLIVE AWARDS V HEARTBEAT
먹방 유튜브 보기,,뉴스 보기,,플라잉요가,,샌드 아트,,안경 수집,,칼림바,,계곡 구경,,가온차트뮤직어워즈
asmr 유튜브 보기,,신문 읽기,,유도,,소묘,,선글라스 수집,,발레,,벚꽃 구경,,하이원 서울가요대상
예능 감상,,신문 스크랩 하기,,태권도,,풍선아트,,필기구 수집,,힙합댄스,,핑크뮬리 구경,,워터파크
관찰 예능,,잡지 스크랩 하기,,주짓수,,모션그래픽,,만년필 수집,,아이돌댄스,,빙어 축제,,공방 뛰기
버라이어티 예능,,라디오 방청,,검도,,핑거페인팅,,골동품 수집,,재즈댄스,,송어 축제,,실내 스카이다이빙
스포츠 예능,,심야 라디오 청취,,펜싱,,바리스타,,동전 수집,,에어로빅,,청춘 페스티벌,,요트 타기
블랙코미디 예능,,새벽 라디오 청취,,족구,,드립커피,,지폐 수집,,줌바댄스,,단풍 축제,,루지 테마파크
드라마 감상,,다도 배우기,,체조,,바텐딩,,구슬 수집,,폴댄스,,할로윈 축제,,청년드림 job 페스티벌
액션 드라마 감상,,스터디모임,,레슬링,,칵테일 만들기,,우표수집,,발리댄스,,불꽃놀이 축제,,스카이워크
공포 드라마 감상,,주판 배우기,,핸드볼,,수제맥주,,수석수집,,팝핀,,갯벌 축제,,알파카 목장
코미디 드라마 감상 ,,영어회화,,역도,,제과제빵,,보드카 수집,,댄스,,카페 탐방,,사륜바이크
뮤지컬 드라마 감상,,공모전,,합기도,,디저트만들기,,와인 수집,,왈츠 추기,,서점 구경,,캐리커쳐 그리기
판타지 드라마 감상,,생물학,,다트,,빼빼로만들기,,강아지키우기,,랩 배우기,,맛집탐방,,하바리움
멜로 드라마 감상,,화학,,트램플린,,사탕만들기,,고양이키우기,,노래 배우기,,디저트맛집탐방,,와이어공예
sf 드라마 감상,,물리학,,철인3종,,케이크만들기,,물고기키우기,,버스킹 하기,,뷔페 가기,,세라믹공예
국내 드라마 감상,,네일아트 배우기,,줄넘기,,한식조리,,거북이키우기,,난타,,파티,,녹차축제
중국 드라마 감상,,수학 문제 풀기,,아이스하키,,일식조리,,햄스터키우기,,판소리,,글램핑,,핸드페인팅
일본 드라마 감상,,수화 공부,,피겨 스케이팅,,중식조리,,뱀키우기,,사물놀이 공연,,래프팅,,천연염색
미국 드라마 감상,,토론 대회,,컬링,,양식조리,,도마뱀키우기,,사물놀이 보기,,탐조,,
영국 드라마감상,,웅변 대회,,스키점프,,태국음식조리,,고슴도치 키우기,,탈춤 보기,,곤충채집,,
프랑스 드라마 감상,,독서,,봅슬레이,,인도음식조리,,앵무새 키우기,,탈춤 공연,,마술,,
다큐 보기,,소설 읽기,,스켈레톤,,프랑스음식조리,,하늘다람쥐 키우기,,왈츠 공연 보기,,손금,,
자연 다큐 보기,,인문/사회/역사책 읽기,,농구경기보기,,집밥만들기,,토끼 키우기,,재즈 음악 감상,,관상,,
동물 다큐 보기,,에세이 읽기,,야구경기보기,,반찬 만들기,,주말농장,,힙합 음악 감상,,사주,,
의학 다큐 보기,,시집 읽기,,축구경기보기,,도시락만들기,,콩나물 키우기,,클래식 음악 감상,,궁합,,
문화 다큐 보기,,종교관련 책 읽기,,UFC 보기,,수제청만들기,,토마토 키우기,,아이돌 음악 감상,,별자리,,
여행 다큐 보기,,과학관련 책 읽기,,경마 보기,,수제차만들기,,난키우기,,대중가요 감상,,혈액형,,
봉사 다큐 보기,,컴퓨터/IT 책 읽기,,스노우보드,,달고나커피 만들기,,텃밭가꾸기,,발라드 감상,,타로카드,,
우주 다큐 보기,,가정/생활 책 읽기,,스키,,흑당버블티 만들기,,다육식물 키우기,,트로트 음악 감상,,부동산 투자,,
역사 다큐 보기,,경영/경제 책 읽기,,서핑,,과일말리기,,버섯 키우기,,버스킹 감상,,주식 투자,,
애니메이션 보기,,자기계발서 읽기,,제트보드,,떡만들기,,선인장키우기,,십자수,,국토순례,,
피부관리,,여행 책 읽기,,스노클링,,젤리만들기,,양봉,,프랑스 자수,,차력,,
패션 스타일링,,건강/다이어트 책 읽기,,다이빙,,보드게임제작,,육아,,보석십자수,,SNS,,
헤어 스타일링,,잡지 읽기,,서핑보드,,게임시나리오,,퍼즐게임,,사진앨범,,아이돌 덕질,,
퍼스널컬러 진단,,만화책 읽기,,제트스키,,3D프린팅,,퍼즐맞추기,,인테리어 하기,,마리모키우기,,
네일아트,,벽화 봉사,,조정,,3D모델링,,수수께끼,,꽃꽂이,,챗봇 제작,,
패디큐어,,보육원 봉사,,수상 스키,,컴퓨터조립,,오목,,드라이플라워,,오지 탐방,,
태닝,,노양원 봉사,,카약,,과학상자,,체스,,디오라마,,뱀키우기,,
왁싱,,고아원 봉사,,파도타기,,레고,,장기,,미니어처,,FPS게임제작,,
문신,,장애인센터 봉사,,레일바이크,,이모티콘제작,,바둑,,스킬자수,,전략게임제작,,
눈썹문신,,정신질환센터 봉사,,패러글라이딩,,커스텀드레스,,방탈출,,편지쓰기,,RPG제작,,
아이라인문신,,미혼모센터 봉사,,스카이 다이빙,,옷 리폼 하기,,추리게임,,가죽공예,,플래시게임제작,,
속눈썹 연장,,가출청소년센터 봉사,,짚라인,,가방 리폼 하기,,보드게임,,목공예,,퍼즐게임제작,,
